timestamp,market,side,qty,ask_price,vwap_price,fill_price,cost,fee_pct,order_type,ask_age_ms,levels_walked,is_snipe,yes_qty,no_qty,pair_cost,skew,time_remaining,mode
2026-03-02 14:59:40,BTC Up/Down 5m — 14:55-15:00 UTC,YES,10.0,0.9500,0.9500,0.9528,9.5282,0.30%,TAKER,627,1,NO,79.0,137.0,0.9601,0.269,19,PAPER
2026-03-02 14:59:42,BTC Up/Down 5m — 14:55-15:00 UTC,YES,10.0,0.9500,0.9500,0.9528,9.5282,0.30%,TAKER,2627,1,NO,89.0,137.0,0.9843,0.212,17,PAPER
2026-03-02 14:59:44,BTC Up/Down 5m — 14:55-15:00 UTC,YES,10.0,0.9800,0.9800,0.9812,9.8120,0.12%,TAKER,205,1,NO,99.0,137.0,1.0065,0.161,15,PAPER
2026-03-02 14:59:46,BTC Up/Down 5m — 14:55-15:00 UTC,YES,10.0,0.9800,0.9800,0.9812,9.8120,0.12%,TAKER,2208,1,NO,109.0,137.0,1.0246,0.114,13,PAPER
2026-03-02 15:05:06,BTC Up/Down 5m — 15:05-15:10 UTC,NO,23.0,0.4300,0.4300,0.4366,10.0415,1.53%,TAKER,265,1,NO,0.0,23.0,0.0000,1.000,294,PAPER
2026-03-02 15:15:08,BTC Up/Down 5m — 15:15-15:20 UTC,NO,22.0,0.4400,0.4400,0.4468,9.8291,1.54%,TAKER,205,1,NO,0.0,22.0,0.0000,1.000,292,PAPER
2026-03-02 15:15:57,BTC Up/Down 5m — 15:15-15:20 UTC,YES,29.0,0.3400,0.3400,0.3448,9.9983,1.40%,TAKER,229,1,YES,29.0,22.0,0.7915,0.137,243,PAPER
2026-03-02 15:16:00,BTC Up/Down 5m — 15:15-15:20 UTC,YES,28.0,0.3500,0.3500,0.3550,9.9393,1.42%,TAKER,203,1,YES,57.0,22.0,0.7966,0.443,239,PAPER
2026-03-02 15:16:48,BTC Up/Down 5m — 15:15-15:20 UTC,NO,22.0,0.4400,0.4400,0.4468,9.8291,1.54%,TAKER,216,1,NO,57.0,44.0,0.7966,0.129,191,PAPER
2026-03-02 15:17:26,BTC Up/Down 5m — 15:15-15:20 UTC,NO,25.0,0.3900,0.3900,0.3958,9.8950,1.49%,TAKER,201,1,NO,57.0,69.0,0.7781,0.095,154,PAPER
2026-03-02 15:17:28,BTC Up/Down 5m — 15:15-15:20 UTC,NO,30.0,0.3300,0.3300,0.3346,10.0368,1.38%,TAKER,203,1,YES,57.0,99.0,0.7497,0.269,151,PAPER
2026-03-02 15:19:30,BTC Up/Down 5m — 15:15-15:20 UTC,YES,55.0,0.1800,0.1800,0.1817,9.9913,0.92%,TAKER,830,1,NO,112.0,99.0,0.6671,0.062,30,PAPER
2026-03-02 15:19:32,BTC Up/Down 5m — 15:15-15:20 UTC,NO,12.0,0.8100,0.8100,0.8178,9.8135,0.96%,TAKER,209,1,NO,112.0,111.0,0.7123,0.004,28,PAPER
2026-03-02 15:19:34,BTC Up/Down 5m — 15:15-15:20 UTC,NO,12.0,0.8100,0.8100,0.8178,9.8135,0.96%,TAKER,2608,1,NO,112.0,123.0,0.7487,0.047,25,PAPER
2026-03-02 15:19:36,BTC Up/Down 5m — 15:15-15:20 UTC,NO,10.0,0.9500,0.9500,0.9528,9.5282,0.30%,TAKER,1525,1,NO,278.0,133.0,0.6605,0.353,23,PAPER
2026-03-02 15:19:38,BTC Up/Down 5m — 15:15-15:20 UTC,NO,10.0,0.9500,0.9500,0.9528,9.5282,0.30%,TAKER,3526,1,NO,278.0,143.0,0.6910,0.321,21,PAPER
2026-03-02 15:25:09,BTC Up/Down 5m — 15:25-15:30 UTC,NO,24.0,0.4100,0.4100,0.4162,9.9888,1.51%,TAKER,322,1,NO,0.0,24.0,0.0000,1.000,290,PAPER
2026-03-02 15:26:48,BTC Up/Down 5m — 15:25-15:30 UTC,YES,27.0,0.3700,0.3700,0.3754,10.1355,1.46%,TAKER,587,1,NO,27.0,24.0,0.7916,0.059,192,PAPER
2026-03-02 15:26:50,BTC Up/Down 5m — 15:25-15:30 UTC,YES,27.0,0.3700,0.3700,0.3754,10.1355,1.46%,TAKER,1608,1,NO,54.0,24.0,0.7916,0.385,190,PAPER
2026-03-02 15:27:15,BTC Up/Down 5m — 15:25-15:30 UTC,NO,23.0,0.4300,0.4300,0.4366,10.0415,1.53%,TAKER,203,1,NO,54.0,47.0,0.8016,0.069,165,PAPER
2026-03-02 15:27:17,BTC Up/Down 5m — 15:25-15:30 UTC,NO,23.0,0.4300,0.4300,0.4366,10.0415,1.53%,TAKER,2204,1,NO,54.0,70.0,0.8050,0.129,163,PAPER
2026-03-02 15:27:19,BTC Up/Down 5m — 15:25-15:30 UTC,NO,24.0,0.4100,0.4100,0.4162,9.9888,1.51%,TAKER,1850,1,NO,54.0,94.0,0.8016,0.270,161,PAPER
2026-03-02 15:27:55,BTC Up/Down 5m — 15:25-15:30 UTC,YES,22.0,0.4400,0.4400,0.4468,9.8291,1.54%,TAKER,203,1,NO,76.0,94.0,0.8222,0.106,124,PAPER
2026-03-02 15:28:29,BTC Up/Down 5m — 15:25-15:30 UTC,YES,22.0,0.4400,0.4400,0.4468,9.8291,1.54%,TAKER,206,1,NO,98.0,94.0,0.8336,0.021,90,PAPER
2026-03-02 15:29:30,BTC Up/Down 5m — 15:25-15:30 UTC,NO,10.0,0.9400,0.9400,0.9433,9.4331,0.35%,TAKER,975,1,NO,98.0,104.0,0.8833,0.030,30,PAPER
2026-03-02 15:29:32,BTC Up/Down 5m — 15:25-15:30 UTC,NO,10.0,0.9500,0.9500,0.9528,9.5282,0.30%,TAKER,1070,1,NO,264.0,114.0,0.7068,0.397,28,PAPER
2026-03-02 15:29:34,BTC Up/Down 5m — 15:25-15:30 UTC,NO,10.0,0.9600,0.9600,0.9623,9.6230,0.24%,TAKER,744,1,NO,264.0,124.0,0.7427,0.361,26,PAPER
2026-03-02 15:35:07,BTC Up/Down 5m — 15:35-15:40 UTC,NO,22.0,0.4400,0.4400,0.4468,9.8291,1.54%,TAKER,202,1,NO,0.0,22.0,0.0000,1.000,292,PAPER
